"filename", "language", "Python", "pip requirements", "Ini", "YAML", "Markdown", "JSON", "Docker", "Ignore", "HTML", "comment", "blank", "total"
"c:\Projects\plex-mal-matcher\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Projects\plex-mal-matcher\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 9, 0, 2, 1, 12
"c:\Projects\plex-mal-matcher\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 14, 81
"c:\Projects\plex-mal-matcher\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Projects\plex-mal-matcher\README.md", "Markdown", 0, 0, 0, 0, 278, 0, 0, 0, 0, 0, 93, 371
"c:\Projects\plex-mal-matcher\docker-compose.yml", "YAML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 2, 31
"c:\Projects\plex-mal-matcher\kometa\overlays-anime-ratings.yml", "YAML", 0, 0, 0, 32, 0, 0, 0, 0, 0, 36, 4, 72
"c:\Projects\plex-mal-matcher\pytest.ini", "Ini", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Projects\plex-mal-matcher\requirements.in", "pip requirements", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 1, 15
"c:\Projects\plex-mal-matcher\requirements.txt", "pip requirements", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 1, 12
"c:\Projects\plex-mal-matcher\src\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Projects\plex-mal-matcher\src\anime_lists.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 26, 36, 239
"c:\Projects\plex-mal-matcher\src\chain_builder.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 170
"c:\Projects\plex-mal-matcher\src\config.py", "Python", 229, 0, 0, 0, 0, 0, 0, 0, 0, 35, 52, 316
"c:\Projects\plex-mal-matcher\src\database.py", "Python", 247, 0, 0, 0, 0, 0, 0, 0, 0, 58, 33, 338
"c:\Projects\plex-mal-matcher\src\edge_cases.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 41, 23, 218
"c:\Projects\plex-mal-matcher\src\exporter.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 84
"c:\Projects\plex-mal-matcher\src\jikan_client.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 47, 32, 226
"c:\Projects\plex-mal-matcher\src\main.py", "Python", 217, 0, 0, 0, 0, 0, 0, 0, 0, 39, 35, 291
"c:\Projects\plex-mal-matcher\src\plex_applier.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 32, 32, 211
"c:\Projects\plex-mal-matcher\src\plex_client.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 0, 16, 27, 152
"c:\Projects\plex-mal-matcher\src\resolver.py", "Python", 217, 0, 0, 0, 0, 0, 0, 0, 0, 35, 36, 288
"c:\Projects\plex-mal-matcher\src\runstate.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 83
"c:\Projects\plex-mal-matcher\src\score_aggregator.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 98
"c:\Projects\plex-mal-matcher\src\season_matcher.py", "Python", 255, 0, 0, 0, 0, 0, 0, 0, 0, 74, 48, 377
"c:\Projects\plex-mal-matcher\src\webui.py", "Python", 190, 0, 0, 0, 0, 0, 0, 0, 0, 26, 41, 257
"c:\Projects\plex-mal-matcher\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Projects\plex-mal-matcher\tests\conftest.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 59
"c:\Projects\plex-mal-matcher\tests\test_anime_lists.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 85
"c:\Projects\plex-mal-matcher\tests\test_config.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34, 112
"c:\Projects\plex-mal-matcher\tests\test_database.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 72
"c:\Projects\plex-mal-matcher\tests\test_edge_cases.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 45
"c:\Projects\plex-mal-matcher\tests\test_jikan_client.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 90
"c:\Projects\plex-mal-matcher\tests\test_plex_applier.py", "Python", 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36, 136
"c:\Projects\plex-mal-matcher\tests\test_season_matcher.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28, 105
"c:\Projects\plex-mal-matcher\tests\test_webui.py", "Python", 115, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 158
"c:\Projects\plex-mal-matcher\webui\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 374, 0, 26, 400
"Total", "-", 2971, 14, 4, 60, 345, 30, 7, 9, 374, 603, 835, 5252
